budget,genres,id,release_date,revenue,title,year
237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995,2009-12-10,2787965087,Avatar,2009
260000000,"['Action', 'Adventure', 'Science Fiction']",49529,2012-03-07,284139100,John Carter,2012
280000000,"['Action', 'Adventure', 'Science Fiction']",99861,2015-04-22,1405403694,Avengers: Age of Ultron,2015
270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",1452,2006-06-28,391081192,Superman Returns,2006
225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",49521,2013-06-12,662845518,Man of Steel,2013
220000000,"['Science Fiction', 'Action', 'Adventure']",24428,2012-04-25,1519557910,The Avengers,2012
225000000,"['Action', 'Comedy', 'Science Fiction']",41154,2012-05-23,624026776,Men in Black 3,2012
250000000,"['Adventure', 'Action', 'Science Fiction']",271110,2016-04-27,1153304495,Captain America: Civil War,2016
209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",44833,2012-04-11,303025485,Battleship,2012
150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,2015-06-09,1513528810,Jurassic World,2015
200000000,"['Action', 'Adventure', 'Science Fiction']",68721,2013-04-18,1215439994,Iron Man 3,2013
210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36668,2006-05-24,459359555,X-Men: The Last Stand,2006
150000000,"['Science Fiction', 'Action', 'Adventure']",8373,2009-06-19,836297228,Transformers: Revenge of the Fallen,2009
210000000,"['Science Fiction', 'Action', 'Adventure']",91314,2014-06-25,1091405097,Transformers: Age of Extinction,2014
170000000,"['Adventure', 'Action', 'Science Fiction']",20526,2010-12-10,400062763,TRON: Legacy,2010
200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",44912,2011-06-16,219851172,Green Lantern,2011
200000000,"['Action', 'Science Fiction', 'Thriller']",534,2009-05-20,371353001,Terminator Salvation,2009
200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",72190,2013-06-20,531865000,World War Z,2013
250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,2014-05-15,747862775,X-Men: Days of Future Past,2014
190000000,"['Action', 'Adventure', 'Science Fiction']",54138,2013-05-05,467365246,Star Trek Into Darkness,2013
180000000,"['Action', 'Science Fiction', 'Adventure']",68726,2013-07-11,407602906,Pacific Rim,2013
195000000,"['Action', 'Science Fiction', 'Adventure']",38356,2011-06-28,1123746996,Transformers: Dark of the Moon,2011
185000000,"['Action', 'Adventure', 'Science Fiction']",188927,2016-07-07,343471816,Star Trek Beyond,2016
200000000,"['Action', 'Adventure', 'Science Fiction']",14161,2009-10-10,769653595,2012,2009
176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757,2015-02-04,183987723,Jupiter Ascending,2015
178000000,['Science Fiction'],246655,2016-05-18,543934787,X-Men: Apocalypse,2016
175000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']",15512,2009-03-19,381509870,Monsters vs Aliens,2009
140000000,"['Action', 'Science Fiction', 'Adventure']",1726,2008-04-30,585174222,Iron Man,2008
170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",8487,1999-06-29,222104681,Wild Wild West,1999
175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",297761,2016-08-02,745000000,Suicide Squad,2016
178000000,"['Action', 'Science Fiction']",137113,2014-05-27,370541256,Edge of Tomorrow,2014
175000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",14869,2009-08-04,302469017,G.I. Joe: The Rise of Cobra,2009
200000000,"['Adventure', 'Action', 'Science Fiction']",10138,2010-04-28,623933331,Iron Man 2,2010
170000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",119450,2014-06-26,710644566,Dawn of the Planet of the Apes,2014
27000000,"['Action', 'Adventure', 'Science Fiction', 'Romance']",79698,2015-02-13,0,The Lovers,2015
170000000,"['Action', 'Adventure', 'Science Fiction']",100402,2014-03-20,714766572,Captain America: The Winter Soldier,2014
190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",158852,2015-05-19,209154322,Tomorrowland,2015
165000000,"['Action', 'Adventure', 'Science Fiction']",47933,2016-06-22,389681935,Independence Day: Resurgence,2016
200000000,"['Action', 'Thriller', 'Science Fiction']",296,2003-07-02,435000000,Terminator 3: Rise of the Machines,2003
170000000,"['Action', 'Science Fiction', 'Adventure']",118340,2014-07-30,773328629,Guardians of the Galaxy,2014
165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,2014-11-05,675120017,Interstellar,2014
160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,2010-07-14,825532764,Inception,2010
15000000,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",315011,2016-07-29,77000000,Shin Godzilla,2016
160000000,"['Action', 'Science Fiction', 'Adventure']",49538,2011-05-24,353624124,X-Men: First Class,2011
160000000,"['Action', 'Adventure', 'Science Fiction']",131634,2015-11-18,653428261,The Hunger Games: Mockingjay - Part 2,2015
155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",87101,2015-06-23,440603537,Terminator Genisys,2015
150000000,"['Adventure', 'Science Fiction', 'Action']",1858,2007-06-27,709709780,Transformers,2007
150000000,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",6479,2007-12-14,585349010,I Am Legend,2007
150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2080,2009-04-28,373062864,X-Men Origins: Wolverine,2009
